10,[(u'targeted flood', 0.00014331612073944914), (u'coastal access', 0.00013313618357413965), (u'pdf .19mb', 7.6891328255298383e-05), (u'.19mb pages', 7.5823089606964219e-05), (u'pdf .19mb pages', 7.2872289057145071e-05), (u'lit pdf .19mb', 6.5409989475866554e-05), (u'lit pdf .19mb pages', 6.5409989475866554e-05), (u'april information', 6.2280194976083937e-05)]
11,[(u'main river', 0.00048374518445728066), (u'main river map', 0.00047405448026696808), (u'river map', 0.00047405448026696808), (u'main river map for england', 0.00029014991411227119), (u'river map for england', 0.00029014991411227119), (u'factual change', 0.00028770159036079222), (u'designation change', 0.0001971669357602108), (u'main sewer', 0.00018765930684623133)]
12,[(u'environmental quality business', 0.00029062143984035557), (u'quality business', 0.00027808059055098192), (u'energy efficiency', 0.00026515506225073066), (u'energy efficiency in buildings', 0.00021993048398987489), (u'efficiency in buildings', 0.00021993048398987489), (u'low carbon', 0.00020961041510022185), (u'marine conservation', 0.00015978878207393519), (u'wastewater treatment', 0.00015349343171784213)]
13,[(u'river flow', 0.0010116618439559835), (u'river flow summary', 0.00057096358413286986), (u'flow summary', 0.00057096358413286986), (u'weekly rainfall', 0.00054465680518061632), (u'review of the rainfall', 0.00037681160801144171), (u'flow data for england', 0.00037673279106770712), (u'river flow data for england', 0.00037673279106770712), (u'river flow data', 0.00037517172955773935)]
14,[(u'industrial emissions', 0.0014949574550400585), (u'july applies', 0.00029637856891963447), (u'drainage systems', 0.00011238743370550996), (u'marine habitat', 8.4396566694391835e-05), (u'sustainable drainage systems', 7.4230647563511005e-05), (u'sources of variation', 6.461654525623012e-05), (u'sustainable drainage', 6.2768766464433743e-05), (u'social media', 6.0660159586050692e-05)]
15,[(u'second round', 0.00031826227075353503), (u'fund annual report', 0.00030025345374039476), (u'pension fund annual report', 0.00027156815789917255), (u'financial statements', 0.00027072349230710947), (u'national statistics announcement', 0.00026344573043184783), (u'statistics announcement', 0.00024046073869670744), (u'climate change', 0.00023994936241407194), (u'change adaptation', 0.00014336625608491415)]
16,[(u'river restriction', 0.0012138590147697532), (u'restriction notice', 0.00078087362682263434), (u'river restriction notice', 0.00074978220733569337), (u'access to the countryside', 0.00051132268141622665), (u'restriction information', 0.00040589144109388594), (u'process guidance', 0.00033726567164740735), (u'details of the river', 0.00032521657746865658), (u'details details of the river', 0.00032521657746865658)]
17,[(u'west water', 0.00031484205836071184), (u'south west water', 0.00025756528042475673), (u'current schemes', 0.00016149943469979456), (u'scheme. documents', 0.00014594175094920686), (u'risk maps', 0.00014307152422494691), (u'flood risk maps', 0.0001418953840663813), (u'inland fisheries', 0.00014081658172617381), (u'f gas', 0.00012888131691589139)]
18,[(u'regional flood', 0.00018565055204067125), (u'coastal committee', 0.00015204414431585584), (u'wilton engineering', 0.00011556301767111702), (u'west england', 0.00010458394289617021), (u'enforcement officers', 0.00010160161159802596), (u'agency flood', 9.5950274438440195e-05), (u'environment agency flood', 9.4168934755234422e-05), (u'vulnerability to commercial fishing', 9.0730464543453869e-05)]
19,[(u'food name', 0.00058010432095215734), (u'river basin', 0.00043945262740815343), (u'catchment flood management', 0.00041992553044077445), (u'catchment flood', 0.00041806281390156965), (u'management plan', 0.00030109715725476304), (u'flood management plan', 0.00029431013060246948), (u'map for england', 0.00028004173682777216), (u'catchment flood management plan', 0.00027540772833540411)]
20,[(u'outline application', 0.00037962850286492767), (u'european regional development', 0.00032984838628883451), (u'development fund', 0.00032979529737763448), (u'regional development', 0.0003297663449234939), (u'european regional development fund', 0.00032948674676597006), (u'regional development fund', 0.00032948674676597006), (u'department for work', 0.00025950550195737876), (u'government department for work', 0.00025647441412617766)]
21,[(u'data for england', 0.00037611331190618661), (u'animal welfare', 0.00027578209634018255), (u'bovine tb', 0.00023628294196431784), (u'farm animal', 0.00014204527617650659), (u'farm animal welfare', 0.00013788251146532729), (u'animal health', 0.00010191872975653741), (u'urban classification', 9.8000272471757705e-05), (u'rural urban classification', 9.7639944498336724e-05)]
22,[(u'mr robert', 0.00017868823387674963), (u'reservoir safety', 0.00015365714156016474), (u'mr phil', 0.00013295330768068356), (u'mr philip', 0.0001327477325616082), (u'mr roger', 0.00012734752188829615), (u'new road', 9.4066289599334873e-05), (u'genetic resources', 7.3297924582667426e-05), (u'accurate data.', 7.0034656269088742e-05)]
23,[(u'environmental permit application', 0.0036833730024245781), (u'permit application', 0.0036520528925191131), (u'environmental permit', 0.0033974941595104661), (u'environmental permit application advertisement', 0.0032690935355340163), (u'application advertisement', 0.0032690935355340163), (u'permit application advertisement', 0.0032690935355340163), (u'environment agency', 0.0029660198286132252), (u'waste operations', 0.0023377769296783111)]
24,[(u'application documents', 0.0017756821757874044), (u'public register', 0.0017593822317759451), (u'environment agency', 0.00044008848897154901), (u'coastal change', 0.00042050095316458348), (u'sewerage services', 0.00041512293755411044), (u'liberal democrat', 0.00040538740289680994), (u'liberal democrat coalition', 0.00040492741931834201), (u'democrat coalition', 0.00040492741931763782)]
